number_Parent	plate_info_Parent	area_Parent	mean_Parent	IntDen_Parent	median_Parent	RawIntDen_Parent	length_Parent	seedling_Parent	genotype_Parent	KNO3_Parent	PLATE_Parent	type_Parent	Parent_name
6	20230616_pNRT21_0.5_T4_N7_luc.tif:0188-0303	1703	395.905	674226	358	674226	212.79	seedling54	pNRT2.1:LUC	0.5mM	plate7	high	line54
7	20230616_pNRT21_0.5_T4_N7_luc.tif:0170-0358	1434	323.817	464354	307	464354	178.424	seedling55	pNRT2.1:LUC	0.5mM	plate7	other	line55
8	20230616_pNRT21_0.5_T4_N7_luc.tif:0201-0403	1976	340.403	672637	316	672637	246.342	seedling56	pNRT2.1:LUC	0.5mM	plate7	other	line56
9	20230616_pNRT21_0.5_T4_N7_luc.tif:0401-0431	1341	285.614	383008	286	383008	166.835	background	pNRT2.1:LUC	0.5mM	plate7		background
10	20230616_pNRT21_0.5_T4_N7_luc.tif:0405-0359	1438	285.798	410977	286	410977	178.979	background	pNRT2.1:LUC	0.5mM	plate7		background
11	20230616_pNRT21_0.5_T4_N7_luc.tif:0373-0272	1349	286.005	385821	286	385821	168.203	background	pNRT2.1:LUC	0.5mM	plate7		background
1	20230616_pNRT21_0.5_T4_N8_luc.tif:0195-0065	1618	356.752	577224	325	577224	201.355	seedling57	pNRT2.1:LUC	0.5mM	plate8	other	line57
2	20230616_pNRT21_0.5_T4_N8_luc.tif:0238-0095	2318	351.698	815236	323	815236	289.127	seedling58	pNRT2.1:LUC	0.5mM	plate8	other	line58
3	20230616_pNRT21_0.5_T4_N8_luc.tif:0209-0155	1837	372.876	684973	346	684973	229.117	seedling59	pNRT2.1:LUC	0.5mM	plate8	high	line59
4	20230616_pNRT21_0.5_T4_N8_luc.tif:0205-0210	1815	359.497	652487	337	652487	225.905	seedling60	pNRT2.1:LUC	0.5mM	plate8	other	line60
5	20230616_pNRT21_0.5_T4_N8_luc.tif:0172-0263	1306	299.319	390911	294	390911	162.569	seedling61	pNRT2.1:LUC	0.5mM	plate8	other	line61
6	20230616_pNRT21_0.5_T4_N8_luc.tif:0194-0307	1658	341.116	565570	312	565570	206.386	seedling62	pNRT2.1:LUC	0.5mM	plate8	medium	line62
7	20230616_pNRT21_0.5_T4_N8_luc.tif:0201-0369	1813	316.225	573316	304	573316	225.111	seedling63	pNRT2.1:LUC	0.5mM	plate8	low	line63
8	20230616_pNRT21_0.5_T4_N8_luc.tif:0232-0402	2293	391.058	896695	352	896695	286.173	seedling64	pNRT2.1:LUC	0.5mM	plate8	high	line64
9	20230616_pNRT21_0.5_T4_N8_luc.tif:0401-0428	1383	285.921	395429	286	395429	171.232	background	pNRT2.1:LUC	0.5mM	plate8		background
10	20230616_pNRT21_0.5_T4_N8_luc.tif:0402-0333	1404	285.623	401015	286	401015	174.573	background	pNRT2.1:LUC	0.5mM	plate8		background
11	20230616_pNRT21_0.5_T4_N8_luc.tif:0400-0261	1555	285.718	444292	286	444292	193.266	background	pNRT2.1:LUC	0.5mM	plate8		background
