Primer	Name	Cp
NRT2.1	NRT2.1_luc_1mM_24	23.01
NRT2.1	NRT2.1_luc_1mM_24	22.87
LVG	NRT2.1_luc_1mM_24	24.45
LVG	NRT2.1_luc_1mM_24	24.49
LVG	NRT2.1_luc_1mM_24	24.47
HVG	NRT2.1_luc_1mM_24	24.95
HVG	NRT2.1_luc_1mM_24	24.98
HVG	NRT2.1_luc_1mM_24	24.98
LUC	NRT2.1_luc_1mM_24	26.89
LUC	NRT2.1_luc_1mM_24	26.71
LUC	NRT2.1_luc_1mM_24	26.58
