number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate	lateralRoots
11	20230426_pNRT21_10mM_N10_luc.tif:0391-0158	1473	282.92	416741	283	416741	182.806	background	pNRT2.1:LUC	10mM	plate10	
1	20230426_pNRT21_10mM_N11_luc.tif:0184-0078	1668	327.243	545841	299	545841	207.644	seedling81	pNRT2.1:LUC	10mM	plate11	6
3	20230426_pNRT21_10mM_N11_luc.tif:0173-0178	1511	358.326	541431	323	541431	187.787	seedling83	pNRT2.1:LUC	10mM	plate11	5
4	20230426_pNRT21_10mM_N11_luc.tif:0154-0230	1284	322.212	413720	306	413720	159.541	seedling84	pNRT2.1:LUC	10mM	plate11	2
5	20230426_pNRT21_10mM_N11_luc.tif:0129-0277	855	294.575	251862	288	251862	106.2	seedling85	pNRT2.1:LUC	10mM	plate11	1
6	20230426_pNRT21_10mM_N11_luc.tif:0132-0328	936	366.031	342605	315	342605	115.704	seedling86	pNRT2.1:LUC	10mM	plate11	3
7	20230426_pNRT21_10mM_N11_luc.tif:0169-0395	1555	314.72	489390	296	489390	193.884	seedling87	pNRT2.1:LUC	10mM	plate11	6
8	20230426_pNRT21_10mM_N11_luc.tif:0198-0441	1825	331.388	604784	300	604784	226.571	seedling88	pNRT2.1:LUC	10mM	plate11	8
9	20230426_pNRT21_10mM_N11_luc.tif:0395-0375	1408	282.695	398035	283	398035	175.208	background	pNRT2.1:LUC	10mM	plate11	
10	20230426_pNRT21_10mM_N11_luc.tif:0386-0281	1578	282.515	445808	282	445808	196.848	background	pNRT2.1:LUC	10mM	plate11	
11	20230426_pNRT21_10mM_N11_luc.tif:0393-0147	1479	282.64	418025	283	418025	183.987	background	pNRT2.1:LUC	10mM	plate11	
1	20230426_pNRT21_10mM_N12_luc.tif:0170-0059	1661	327.637	544205	300	544205	206.828	seedling89	pNRT2.1:LUC	10mM	plate12	8
2	20230426_pNRT21_10mM_N12_luc.tif:0145-0104	1346	300.25	404137	288	404137	166.798	seedling90	pNRT2.1:LUC	10mM	plate12	4
3	20230426_pNRT21_10mM_N12_luc.tif:0147-0161	1447	321.363	465012	293	465012	180.15	seedling91	pNRT2.1:LUC	10mM	plate12	6
4	20230426_pNRT21_10mM_N12_luc.tif:0163-0211	1682	337.158	567099	302	567099	209.088	seedling92	pNRT2.1:LUC	10mM	plate12	8
5	20230426_pNRT21_10mM_N12_luc.tif:0171-0261	1805	360.876	651382	318	651382	224.269	seedling93	pNRT2.1:LUC	10mM	plate12	8
6	20230426_pNRT21_10mM_N12_luc.tif:0161-0307	1754	352.682	618604	319	618604	218.2	seedling94	pNRT2.1:LUC	10mM	plate12	9
7	20230426_pNRT21_10mM_N12_luc.tif:0162-0365	1699	332.845	565503	304	565503	211.42	seedling95	pNRT2.1:LUC	10mM	plate12	6
8	20230426_pNRT21_10mM_N12_luc.tif:0178-0417	1880	365.046	686286	322	686286	233.926	seedling96	pNRT2.1:LUC	10mM	plate12	10
9	20230426_pNRT21_10mM_N12_luc.tif:0389-0425	1728	283.178	489331	283	489331	214.565	background	pNRT2.1:LUC	10mM	plate12	
10	20230426_pNRT21_10mM_N12_luc.tif:0376-0246	1762	282.978	498607	283	498607	219.078	background	pNRT2.1:LUC	10mM	plate12	
11	20230426_pNRT21_10mM_N12_luc.tif:0386-0177	1700	282.826	480804	283	480804	211.244	background	pNRT2.1:LUC	10mM	plate12	
