number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	length_mm	PLATE	RawIntDen-norm_bckg	RawIntDen_normBackg_normLen	signal	DAY	
8	20230616_pNRT21_0.5_T4_N7_luc.tif:0201-0403	1976	340.403	672637	316	672637	246.342	seedling56	pNRT2.1:LUC	0.5mM->0.5mM	49.76606061	plate7	107885.3019	2167.848943		T4	medium
9	20230616_pNRT21_0.5_T4_N7_luc.tif:0401-0431	1341	285.614	383008	286	383008	166.835	background		0.5mM->0.5mM	33.7040404	plate7		0		T4	high
10	20230616_pNRT21_0.5_T4_N7_luc.tif:0405-0359	1438	285.798	410977	286	410977	178.979	background		0.5mM->0.5mM	36.15737374	plate7		0		T4	medium
11	20230616_pNRT21_0.5_T4_N7_luc.tif:0373-0272	1349	286.005	385821	286	385821	168.203	background		0.5mM->0.5mM	33.98040404	plate7		0		T4	low
1	20230616_pNRT21_0.5_T4_N8_luc.tif:0195-0065	1618	356.752	577224	325	577224	201.355	seedling57	pNRT2.1:LUC	0.5mM->0.5mM	40.67777778	plate8	114873.6326	2823.989875		T4	high
2	20230616_pNRT21_0.5_T4_N8_luc.tif:0238-0095	2318	351.698	815236	323	815236	289.127	seedling58	pNRT2.1:LUC	0.5mM->0.5mM	58.40949495	plate8	152857.6615	2617.000226		T4	
3	20230616_pNRT21_0.5_T4_N8_luc.tif:0209-0155	1837	372.876	684973	346	684973	229.117	seedling59	pNRT2.1:LUC	0.5mM->0.5mM	46.28626263	plate8	160042.4531	3457.666357		T4	
4	20230616_pNRT21_0.5_T4_N8_luc.tif:0205-0210	1815	359.497	652487	337	652487	225.905	seedling60	pNRT2.1:LUC	0.5mM->0.5mM	45.63737374	plate8	133843.0464	2932.750846		T4	
5	20230616_pNRT21_0.5_T4_N8_luc.tif:0172-0263	1306	299.319	390911	294	390911	162.569	seedling61	pNRT2.1:LUC	0.5mM->0.5mM	32.84222222	plate8	17715.95682	539.4262515		T4	
6	20230616_pNRT21_0.5_T4_N8_luc.tif:0194-0307	1658	341.116	565570	312	565570	206.386	seedling62	pNRT2.1:LUC	0.5mM->0.5mM	41.69414141	plate8	91789.4628	2201.495454		T4	
7	20230616_pNRT21_0.5_T4_N8_luc.tif:0201-0369	1813	316.225	573316	304	573316	225.111	seedling63	pNRT2.1:LUC	0.5mM->0.5mM	45.4769697	plate8	55243.55492	1214.758927		T4	
8	20230616_pNRT21_0.5_T4_N8_luc.tif:0232-0402	2293	391.058	896695	352	896695	286.173	seedling64	pNRT2.1:LUC	0.5mM->0.5mM	57.81272727	plate8	241460.5176	4176.59794		T4	
9	20230616_pNRT21_0.5_T4_N8_luc.tif:0401-0428	1383	285.921	395429	286	395429	171.232	background		0.5mM->0.5mM	34.59232323	plate8		0		T4	
10	20230616_pNRT21_0.5_T4_N8_luc.tif:0402-0333	1404	285.623	401015	286	401015	174.573	background		0.5mM->0.5mM	35.26727273	plate8		0		T4	
11	20230616_pNRT21_0.5_T4_N8_luc.tif:0400-0261	1555	285.718	444292	286	444292	193.266	background		0.5mM->0.5mM	39.04363636	plate8		0		T4	
