gene	name	type
AT1G32470	Single_hybrid_motif_superfamily_protein	Photosynthesis
AT1G42970	GAPB	Photosynthesis
AT1G44575	NPQ4	Photosynthesis
AT1G52230	PSAH2	Photosynthesis
AT1G55670	PSAG	Photosynthesis
AT1G56190	Phosphoglycerate_kinase	Photosynthesis
AT1G67740	PSBY	Photosynthesis
AT1G68010	HPR	Photosynthesis
AT1G70580	AOAT2	Photosynthesis
AT1G79040	PSBR	Photosynthesis
AT1G79530	GAPCP_1	Photosynthesis
AT1G16300	GAPCP_2	Photosynthesis
AT2G01140	PDE345	Photosynthesis
AT2G06520	PSBX	Photosynthesis
AT2G13360	AGT	Photosynthesis
AT2G20260	PSAE_2	Photosynthesis
AT2G21170	TIM	Photosynthesis
AT2G21330	FBA1	Photosynthesis
AT2G26080	GLDP2	Photosynthesis
AT2G30570	PSBW	Photosynthesis
AT2G35120	Single_hybrid_motif_superfamily_protein	Photosynthesis
AT2G35370	GDCH	Photosynthesis
AT2G45290	Transketolase	Photosynthesis
AT2G46820	PSI_P	Photosynthesis
AT3G01440	PnsL3	Photosynthesis
AT3G04790	EMB3119	Photosynthesis
AT3G12780	PGK1	Photosynthesis
AT3G14415	Aldolase_type_TIM_barrel_family_protein	Photosynthesis
AT3G14420	Aldolase_type_TIM_barrel_family_protein	Photosynthesis
AT3G16140	PSAH_1	Photosynthesis
AT3G21055	PSBTN	Photosynthesis
AT3G26650	GAPA	Photosynthesis
AT3G50820	PSBO2	Photosynthesis
AT3G54050	HCEF1	Photosynthesis
AT3G55800	SBPASE	Photosynthesis
AT3G60750	Transketolase	Photosynthesis
AT4G02770	PSAD_1	Photosynthesis
AT4G05180	PSBQ_2	Photosynthesis
AT4G12800	PSAL	Photosynthesis
AT4G18360	Aldolase_type_TIM_barrel_family_protein	Photosynthesis
AT4G21280	PSBQA	Photosynthesis
AT4G26530	Fructose_bisphosphate_aldolase	Photosynthesis
AT4G28660	PSB28	Photosynthesis
AT4G28750	PSAE_1	Photosynthesis
AT4G32520	SHM3	Photosynthesis
AT4G33010	GLDP1	Photosynthesis
AT4G38970	FBA2	Photosynthesis
AT5G36790	phosphoglycolate_phosphatase	Photosynthesis
AT5G36700	PGLP1	Photosynthesis
AT5G38430	RUBISCO_small_chain	Photosynthesis
AT5G38410	RUBISCO_small_chain	Photosynthesis
AT1G67090	RBCS1A	Photosynthesis
AT5G38420	RUBISCO_small_chain	Photosynthesis
AT5G44520	Ribose_5_phosphate_isomerase	Photosynthesis
AT5G61410	RPE	Photosynthesis
AT5G64040	PSAN	Photosynthesis
AT5G66570	PSBO1	Photosynthesis
AT1G04410	MDH	TCAcycle_mitocondrialET
AT1G10670	ACLA_1	TCAcycle_mitocondrialET
AT1G15120	UQCRX	TCAcycle_mitocondrialET
AT1G16700	ATMLO14	TCAcycle_mitocondrialET
AT1G79010	NADH_ubiquinone_oxidoreductase	TCAcycle_mitocondrialET
AT1G22450	COX6B	TCAcycle_mitocondrialET
AT1G32350	AOX1D	TCAcycle_mitocondrialET
AT1G47260	GAMMA_CA2	TCAcycle_mitocondrialET
AT1G49140	NADH_ubiquinone_oxidoreductase	TCAcycle_mitocondrialET
AT3G18410	NADH_ubiquinone_oxidoreductase	TCAcycle_mitocondrialET
AT1G53240	NAD	TCAcycle_mitocondrialET
AT1G65930	ICDH	TCAcycle_mitocondrialET
AT1G80230	COX	TCAcycle_mitocondrialET
AT2G05710	Aconitase	TCAcycle_mitocondrialET
AT2G20360	NAD(P)_binding_protein	TCAcycle_mitocondrialET
AT2G20420	Succinyl_CoA_ligase	TCAcycle_mitocondrialET
AT2G22780	PMDH1	TCAcycle_mitocondrialET
AT2G44350	ATCS	TCAcycle_mitocondrialET
AT2G46505	SDH4	TCAcycle_mitocondrialET
AT2G47380	COX	TCAcycle_mitocondrialET
AT2G47690	NADH_ubiquinone_oxidoreductase	TCAcycle_mitocondrialET
AT3G03100	NADH_ubiquinone_oxidoreductase	TCAcycle_mitocondrialET
AT3G06650	ACLB_1	TCAcycle_mitocondrialET
AT3G10860	UQCRX	TCAcycle_mitocondrialET
AT3G12260	Complex_1	TCAcycle_mitocondrialET
AT3G15020	NAD	TCAcycle_mitocondrialET
AT3G15640	COX	TCAcycle_mitocondrialET
AT3G22360	AOX1B	TCAcycle_mitocondrialET
AT3G22370	AOX1A	TCAcycle_mitocondrialET
AT3G47520	MDH	TCAcycle_mitocondrialET
AT3G48680	GAMMA_CAL2	TCAcycle_mitocondrialET
AT3G52730	UQCRX	TCAcycle_mitocondrialET
AT3G55410	a_ketoglutarate_dehydrogenase	TCAcycle_mitocondrialET
AT4G02580	NADH_ubiquinone_oxidoreductase	TCAcycle_mitocondrialET
AT4G26970	Aconitase	TCAcycle_mitocondrialET
AT4G32210	SDH3_2	TCAcycle_mitocondrialET
AT5G09600	SDH3_1	TCAcycle_mitocondrialET
AT4G32470	UQCRX	TCAcycle_mitocondrialET
AT4G37830	COX	TCAcycle_mitocondrialET
AT5G05370	UQCRX	TCAcycle_mitocondrialET
AT5G08300	Succinyl_CoA_ligase	TCAcycle_mitocondrialET
AT5G09660	PMDH2	TCAcycle_mitocondrialET
AT5G11770	NADH_ubiquinone_oxidoreductase	TCAcycle_mitocondrialET
AT5G13430	UQCRX	TCAcycle_mitocondrialET
AT5G13440	UQCRX	TCAcycle_mitocondrialET
AT5G18800	NADH_ubiquinone_oxidoreductase	TCAcycle_mitocondrialET
AT5G23250	Succinyl_CoA_ligase	TCAcycle_mitocondrialET
AT5G25450	UQCRX	TCAcycle_mitocondrialET
AT5G37510	EMB1467	TCAcycle_mitocondrialET
AT5G40650	SDH2_2	TCAcycle_mitocondrialET
AT5G49460	ACLB_2	TCAcycle_mitocondrialET
AT5G52840	NADH_ubiquinone_oxidoreductase	TCAcycle_mitocondrialET
AT5G58330	MDH	TCAcycle_mitocondrialET
AT5G61310	COX	TCAcycle_mitocondrialET
AT5G63510	GAMMA_CAL1	TCAcycle_mitocondrialET
AT5G65750	a_ketoglutarate_dehydrogenase	TCAcycle_mitocondrialET
AT5G66510	GAMMA_CA3	TCAcycle_mitocondrialET
AT5G66760	SDH1_1	TCAcycle_mitocondrialET
AT5G67590	FRO1	TCAcycle_mitocondrialET
AT1G03475	HEMF1	Tetrapyrrole
AT1G03630	POR_C	Tetrapyrrole
AT1G08520	ALB1	Tetrapyrrole
AT1G09940	HEMA2	Tetrapyrrole
AT1G44446	CH1	Tetrapyrrole
AT1G50170	SIRB	Tetrapyrrole
AT1G58290	HEMA1	Tetrapyrrole
AT1G69740	HEMB1	Tetrapyrrole
AT2G26540	HEMD	Tetrapyrrole
AT2G30390	FC2	Tetrapyrrole
AT2G40490	HEME2	Tetrapyrrole
AT2G44520	COX10	Tetrapyrrole
AT3G14930	HEME1	Tetrapyrrole
AT3G48730	GSA2	Tetrapyrrole
AT3G51820	G4	Tetrapyrrole
AT3G56940	CRD1	Tetrapyrrole
AT4G01690	PPOX	Tetrapyrrole
AT4G03205	HEMF2	Tetrapyrrole
AT4G18480	CHLI1	Tetrapyrrole
AT4G25080	CHLM	Tetrapyrrole
AT5G08280	HEMC	Tetrapyrrole
AT5G13630	GUN5	Tetrapyrrole
AT5G18660	PCB2	Tetrapyrrole
AT5G26030	FC1	Tetrapyrrole
AT5G40850	UPM1	Tetrapyrrole
AT5G45930	CHLI2	Tetrapyrrole
AT1G08090	NRT2.1	NRT2.1
